RIC,NAME,REGION,
NGIAGDLFFPMc1,Agua Dulce,TX,
NGIALCIFFPMc1,Algonquin City,Northeast,
NGIALLNFFPMc1,Alliance,Canada,
NGIANSEFFPMc1,ANR SE,LA,
NGIANSWFFPMc1,ANR SW,Mid-Continent,
NGICHYHFFPMc1,Cheyenne Hub,Rockies,
NGICHCIFFPMc1,Chicago Citygate,MidWest,
NGICIGFFPMc1,CIG,Rockies,
NGICOGAFFPMc1,Columbia Gas,Appalachia,
NGICOGUFFPMc1,Columbia GulfMn,LA,
NGICOGLFFPMc1,Columbia GulfOn,LA,
NGICONSFFPMc1,Consumers Energy,MidWest,
NGIDAWNFFPMc1,Dawn,MidWest,
NGIDOMNFFPMc1,Cove Point,Southeast,
NGIDOSOFFPMc1,EstGs Suth,Appalachia,
NGIELPEFFPMc1,El Paso Permian,TX,
NGIELSAFFPMc1,El Paso San Juan,Rockies,
NGIENEAFFPMc1,Enable East,Mid-Continent,
NGIFGZOFFPMc1,FGT Zone 3,Southeast,
NGIHEHUFFPMc1,Henry Hub,LA,
NGIHOSHFFPMc1,Houston ShipChn,TX,
NGIIRWAFFPMc1,Iroquois Wadding,Northeast,
NGIIRZOFFPMc1,Iroquois Zone 2,Northeast,
NGIKATYFFPMc1,Katy,TX,
NGIMALIFFPMc1,Malin,CA,
NGIMICOFFPMc1,Michigan Cnsld,MidWest,
NGIMIEAFFPMc1,Millennium East,Appalachia,
NGINGMIFFPMc1,NGPL Midcontint,Mid-Continent,
NGINGPSFFPMc1,NGPL S. TX,TX,
NGINGTEFFPMc1,NGPL TexOk,TX,
NGINORTFFPMc1,Northern Br Vent,Mid-Continent,(Ventura)
NGINOROFFPMc1,Northwest Rkies,Rockies,
NGINOSUFFPMc1,Northwest Sumas,Rockies,
NGINOVCFFPMc1,NOVA/AECO C,Canada,
NGINODEFFPMc1,Nrth Natrl Demar,Mid-Continent,
NGINOVEFFPMc1,Nrth Ntl Ventura,Mid-Continent,
NGIOGTFFPMc1,OGT,Mid-Continent,
NGIOPALFFPMc1,Opal,Rockies,
NGIPAEAFFPMc1,Panhandle Estrn,Mid-Continent,
NGIPGCIFFPMc1,PG&E Citygate,CA,
NGIPIPRFFPMc1,Pine Prairie,LA,
NGIREZOFFPMc1,REX Zone 3 DLV,MidWest,
NGISOBOFFPMc1,SoCal Border Avg,CA,
NGISOCIFFPMc1,SoCal Citygate,CA,
NGISONAFFPMc1,Southern Natural,LA,
NGISOSTFFPMc1,Southern Star,Mid-Continent,
NGISTANFFPMc1,Stanfield,Rockies,
NGITELIFFPMc1,Tennessee Ln500,LA,
NGITELNFFPMc1,Tennessee Ln800,LA,
NGITEZOFFPMc1,Tennessee Zn0Sth,TX,
NGITEZNFFPMc1,Tennessee Zn4Mrc,Appalachia,
NGITEZEFFPMc1,Tennessee Zn6200,Northeast,
NGITEETFFPMc1,Texas Eastern M3,Appalachia,
NGITEEAFFPMc1,Texas EasternELA,LA,
NGITEERFFPMc1,Texas Est S.TX,TX,
NGITEEWFFPMc1,Texas Est W. LA,LA,
NGITEESFFPMc1,Texas Est2 30Rpt,Appalachia,
NGITEGAFFPMc1,Texas Gas Zn1,LA,
NGITRLEFFPMc1,Transco Leidy,Appalachia,
NGITR6FFPMc1,Transco Zn6NonNY,Northeast,
NGITR6NFFPMc1,Transco Zn6NY,Northeast,
NGITRZ1FFPMc1,Transco Zone 1,TX,
NGITRZ2FFPMc1,Transco Zone 2,TX,
NGITRZ3FFPMc1,Transco Zone 3,LA,
NGITRZ4FFPMc1,Transco Zone 4,Southeast,
NGITRZ5FFPMc1,Transco Zone 5,Southeast,
NGITRAWFFPMc1,Transwestern,TX,
NGITRELFFPMc1,Trunkline E. LA,LA,
NGITRZOFFPMc1,Trunkline Zone1A,LA,
NGIWAHAFFPMc1,Waha,TX,
